Order Book - 2023-06-15
Buy 82.86% | Sell 17.14%
Closing Price: 10.67

Buy Orders           | Sell Orders         
-------------------------------------------
 1 11.22 53200 (1) <-- Close |  1 9.69 104600 (1)  
 2 11.19 523100 (1) <-- Close |  2 9.74 55600 (1)   
 3 11.18 85900 (1) <-- Close |  3 9.76 103500 (1)  
 4 11.13 51800 (1) <-- Close |  4 9.93 102500 (1)  
 5 11.06 923800 (1) <-- Close |  5 10.04 96000 (1)  
 6 11.04 139500 (1) <-- Close |  6 10.16 944700 (1) 
 7 11.02 865800 (1) <-- Close |  7 10.23 102500 (1) 
 8 11.00 988500 (2) <-- Close |  8 10.27 48800 (1)  
 9 10.98 1887400 (4) <-- Close |  9 10.29 76800 (1)  
10 10.96 91700 (1) <-- Close | 10 10.31 616200 (2) 
11 10.95 1027000 (2) <-- Close | 11 10.32 957600 (1) 
12 10.94 202500 (3) <-- Close | 12 10.38 150800 (2) 
13 10.92 88400 (1) <-- Close | 13 10.40 40800 (1)  
14 10.91 89600 (1) <-- Close | 14 10.44 47500 (1)  
15 10.90 130400 (2) <-- Close | 15 10.45 95300 (1)  
16 10.89 146900 (2) <-- Close | 16 10.47 71100 (1)  
17 10.87 147300 (2) <-- Close | 17 10.48 1020600 (1)
18 10.85 644500 (2) <-- Close | 18 10.49 1872000 (3)
19 10.84 447100 (5) <-- Close | 19 10.50 391700 (3) 
20 10.83 535800 (1) <-- Close | 20 10.56 885000 (1) 
21 10.82 96500 (2) <-- Close | 21 10.57 100300 (1) 
22 10.81 165200 (3) <-- Close | 22 10.61 1948800 (1)
23 10.80 55400 (1) <-- Close | 23 10.65 1880900 (2)
24 10.79 118900 (1) <-- Close | 24 10.67 908800 (1) <-- Close
25 10.78 137200 (2) <-- Close | 25 10.69 2245700 (2)
26 10.77 117700 (2) <-- Close | 26 10.70 16700 (1)  
27 10.76 133800 (2) <-- Close | 27 10.72 984300 (1) 
28 10.75 55500 (1) <-- Close | 28 10.73 1027700 (1)
29 10.74 165300 (3) <-- Close | 29 10.74 94100 (1)  
30 10.73 140100 (2) <-- Close | 30 10.82 481900 (1) 
31 10.71 1177000 (3) <-- Close | 31 10.94 1820300 (1)
32 10.70 201100 (3) <-- Close | 32 10.96 87100 (1)  
33 10.69 307200 (4) <-- Close | 33 11.00 80200 (1)  
34 10.68 138900 (2) <-- Close | 34 11.02 894000 (1) 
35 10.67 592000 (2) <-- Close |                     
36 10.66 87100 (1)   |                     
37 10.65 2161000 (4) |                     
38 10.64 439600 (5)  |                     
39 10.62 145800 (2)  |                     
40 10.61 560600 (7)  |                     
41 10.59 102000 (1)  |                     
42 10.57 97600 (1)   |                     
43 10.56 247100 (2)  |                     
44 10.55 1203000 (4) |                     
45 10.53 3365300 (4) |                     
46 10.52 57300 (1)   |                     
47 10.51 234000 (1)  |                     
48 10.50 1358000 (4) |                     
49 10.49 159900 (2)  |                     
50 10.48 2515700 (6) |                     
51 10.47 2030700 (4) |                     
52 10.45 94600 (1)   |                     
53 10.44 58600 (1)   |                     
54 10.43 1012200 (2) |                     
55 10.42 705800 (3)  |                     
56 10.41 191500 (2)  |                     
57 10.40 1068600 (2) |                     
58 10.39 415400 (4)  |                     
59 10.38 183600 (3)  |                     
60 10.37 290700 (3)  |                     
61 10.36 56000 (1)   |                     
62 10.35 578500 (1)  |                     
63 10.34 87500 (1)   |                     
64 10.33 657400 (2)  |                     
65 10.30 972000 (5)  |                     
66 10.29 1060200 (4) |                     
67 10.28 833600 (4)  |                     
68 10.26 58500 (1)   |                     
69 10.25 1105000 (3) |                     
70 10.24 556100 (1)  |                     
71 10.23 1158400 (2) |                     
72 10.22 174400 (3)  |                     
73 10.21 47600 (1)   |                     
74 10.20 1935600 (3) |                     
75 10.19 62600 (1)   |                     
76 10.18 153300 (1)  |                     
77 10.17 98300 (1)   |                     
78 10.16 1115100 (2) |                     
79 10.15 2662900 (5) |                     
80 10.14 94800 (1)   |                     
81 10.13 155200 (2)  |                     
82 10.11 1035800 (2) |                     
83 10.09 85100 (1)   |                     
84 10.08 538700 (1)  |                     
85 10.07 98800 (1)   |                     
86 10.06 263800 (2)  |                     
87 10.05 56800 (1)   |                     
88 10.02 88600 (1)   |                     
89 10.01 83300 (1)   |                     
90 9.96 59100 (1)    |                     
91 9.94 1073200 (1)  |                     
92 9.93 303400 (1)   |                     
93 9.90 115100 (1)   |                     
94 9.84 93000 (1)    |                     
95 9.81 60600 (1)    |                     
96 9.77 61400 (1)    |                     
97 9.67 60700 (1)    |                     
98 9.66 1228800 (1)  |                     
99 9.64 55100 (1)    |                     
