Order Book - 2023-06-16
Buy 74.34% | Sell 25.66%
Closing Price: 9.42

Buy Orders          | Sell Orders        
-----------------------------------------
 1 10.04 22400 (1) <-- Close |  1 8.90 335200 (2) 
 2 10.03 22500 (1) <-- Close |  2 8.93 227800 (2) 
 3 9.97 26200 (1) <-- Close |  3 8.97 3799600 (2)
 4 9.95 18600 (1) <-- Close |  4 9.09 2104600 (2)
 5 9.94 17700 (1) <-- Close |  5 9.10 100400 (2) 
 6 9.93 1257000 (1) <-- Close |  6 9.15 3902600 (2)
 7 9.92 174700 (1) <-- Close |  7 9.19 213400 (2) 
 8 9.90 25000 (1) <-- Close |  8 9.23 207400 (2) 
 9 9.88 53100 (1) <-- Close |  9 9.24 923800 (2) 
10 9.87 16100 (1) <-- Close | 10 9.25 216400 (2) 
11 9.86 194200 (1) <-- Close | 11 9.30 358000 (2) 
12 9.85 108200 (1) <-- Close | 12 9.32 321600 (2) 
13 9.84 32400 (2) <-- Close | 13 9.34 219200 (2) 
14 9.83 268000 (1) <-- Close | 14 9.35 265800 (2) 
15 9.81 120900 (2) <-- Close | 15 9.40 597800 (4) 
16 9.80 28100 (1) <-- Close | 16 9.41 2220400 (4)
17 9.78 207100 (1) <-- Close | 17 9.42 1394200 (4) <-- Close
18 9.77 49300 (2) <-- Close | 18 9.46 70600 (2)  
19 9.76 102000 (1) <-- Close | 19 9.50 4595400 (8)
20 9.72 16400 (1) <-- Close | 20 9.51 247200 (2) 
21 9.71 28700 (2) <-- Close | 21 9.56 1852600 (2)
22 9.70 290400 (1) <-- Close | 22 9.57 4693400 (6)
23 9.69 42200 (2) <-- Close | 23 9.60 2085600 (2)
24 9.68 19200 (1) <-- Close | 24 9.63 2332800 (2)
25 9.67 1275400 (3) <-- Close | 25 9.69 481400 (2) 
26 9.66 14700 (1) <-- Close | 26 9.70 304000 (2) 
27 9.65 704300 (3) <-- Close | 27 9.71 305200 (4) 
28 9.64 16800 (1) <-- Close | 28 9.74 2057000 (2)
29 9.63 323400 (3) <-- Close | 29 9.84 200800 (2) 
30 9.62 378400 (3) <-- Close | 30 9.93 96600 (2)  
31 9.61 513000 (3) <-- Close |                    
32 9.60 269900 (1) <-- Close |                    
33 9.58 430800 (5) <-- Close |                    
34 9.56 1700400 (5) <-- Close |                    
35 9.55 398400 (3) <-- Close |                    
36 9.53 56600 (2) <-- Close |                    
37 9.51 292900 (3) <-- Close |                    
38 9.50 3538300 (6) <-- Close |                    
39 9.49 1144800 (2) <-- Close |                    
40 9.48 33500 (2) <-- Close |                    
41 9.47 158900 (1) <-- Close |                    
42 9.46 116200 (2) <-- Close |                    
43 9.45 427500 (2) <-- Close |                    
44 9.44 159700 (3) <-- Close |                    
45 9.43 1450100 (3) <-- Close |                    
46 9.42 3640800 (2) <-- Close |                    
47 9.41 1500200 (7) |                    
48 9.40 1030800 (3) |                    
49 9.39 177200 (4)  |                    
50 9.38 256800 (4)  |                    
51 9.37 3324800 (6) |                    
52 9.36 1358400 (3) |                    
53 9.35 153500 (3)  |                    
54 9.34 252000 (4)  |                    
55 9.33 18300 (1)   |                    
56 9.31 419400 (4)  |                    
57 9.30 175300 (1)  |                    
58 9.29 1831100 (6) |                    
59 9.28 353500 (3)  |                    
60 9.27 261600 (4)  |                    
61 9.26 455700 (3)  |                    
62 9.25 894600 (6)  |                    
63 9.24 781300 (4)  |                    
64 9.23 19000 (1)   |                    
65 9.22 633800 (3)  |                    
66 9.21 28500 (1)   |                    
67 9.20 486100 (6)  |                    
68 9.19 3225300 (7) |                    
69 9.18 2410000 (2) |                    
70 9.17 17700 (1)   |                    
71 9.16 1313500 (4) |                    
72 9.15 232100 (2)  |                    
73 9.13 194500 (3)  |                    
74 9.12 87700 (4)   |                    
75 9.11 132200 (2)  |                    
76 9.10 17600 (1)   |                    
77 9.09 1347000 (2) |                    
78 9.08 350900 (3)  |                    
79 9.06 16900 (1)   |                    
80 9.05 240400 (3)  |                    
81 9.03 315900 (3)  |                    
82 9.02 589100 (2)  |                    
83 9.01 2397400 (3) |                    
84 9.00 115400 (1)  |                    
85 8.99 17700 (1)   |                    
86 8.97 16200 (1)   |                    
87 8.96 635200 (1)  |                    
88 8.95 23900 (1)   |                    
89 8.93 153200 (3)  |                    
90 8.91 34500 (2)   |                    
91 8.86 2379800 (2) |                    
92 8.85 118200 (1)  |                    
93 8.81 27900 (1)   |                    
94 8.79 19100 (1)   |                    
95 8.76 18400 (1)   |                    
96 8.75 16500 (1)   |                    
97 8.70 19700 (1)   |                    
