Order Book - 2023-06-15
Buy 42.41% | Sell 57.59%
Closing Price: 9.21

Buy Orders          | Sell Orders         
------------------------------------------
 1 10.03 93400 (1) <-- Close |  1 8.41 143600 (2)  
 2 9.88 104000 (1) <-- Close |  2 8.55 120200 (2)  
 3 9.72 933700 (1) <-- Close |  3 8.60 137600 (2)  
 4 9.70 105100 (1) <-- Close |  4 8.63 1150000 (2) 
 5 9.59 1045700 (1) <-- Close |  5 8.67 1416800 (2) 
 6 9.58 103000 (1) <-- Close |  6 8.69 594600 (2)  
 7 9.57 1227400 (1) <-- Close |  7 8.80 128600 (2)  
 8 9.56 1053900 (2) <-- Close |  8 8.81 209200 (2)  
 9 9.53 217000 (2) <-- Close |  9 8.86 147000 (2)  
10 9.52 542600 (1) <-- Close | 10 8.87 227400 (2)  
11 9.51 1924500 (4) <-- Close | 11 8.88 131200 (2)  
12 9.49 3033300 (3) <-- Close | 12 8.89 1573400 (4) 
13 9.48 173900 (1) <-- Close | 13 8.92 1250200 (2) 
14 9.44 1163600 (2) <-- Close | 14 8.93 1394800 (2) 
15 9.43 103700 (1) <-- Close | 15 8.94 117600 (2)  
16 9.42 156400 (1) <-- Close | 16 8.96 142800 (2)  
17 9.41 98000 (1) <-- Close | 17 8.97 139400 (2)  
18 9.39 249600 (1) <-- Close | 18 8.98 134200 (2)  
19 9.36 416300 (4) <-- Close | 19 8.99 131400 (2)  
20 9.35 198600 (2) <-- Close | 20 9.00 2268600 (4) 
21 9.33 326500 (2) <-- Close | 21 9.01 1680800 (4) 
22 9.31 1174600 (2) <-- Close | 22 9.04 121600 (2)  
23 9.30 1314200 (2) <-- Close | 23 9.05 2743600 (10)
24 9.28 352800 (2) <-- Close | 24 9.06 130800 (2)  
25 9.27 190000 (1) <-- Close | 25 9.08 95600 (2)   
26 9.26 651000 (2) <-- Close | 26 9.13 2797400 (4) 
27 9.25 1748200 (2) <-- Close | 27 9.14 2143000 (2) 
28 9.24 2215700 (2) <-- Close | 28 9.15 133800 (2)  
29 9.23 1859400 (1) <-- Close | 29 9.16 185000 (4)  
30 9.22 278200 (2) <-- Close | 30 9.17 259200 (4)  
31 9.21 2439300 (7) <-- Close | 31 9.19 110000 (2)  
32 9.20 103200 (1)  | 32 9.20 2377400 (10)
33 9.19 1815300 (4) | 33 9.21 173000 (2) <-- Close
34 9.18 103000 (1)  | 34 9.22 179800 (4)  
35 9.17 2749500 (4) | 35 9.23 1523200 (6) 
36 9.16 108600 (1)  | 36 9.24 235600 (4)  
37 9.14 271500 (3)  | 37 9.26 255000 (6)  
38 9.12 104500 (1)  | 38 9.29 224800 (4)  
39 9.11 289500 (2)  | 39 9.31 3303800 (6) 
40 9.10 391900 (3)  | 40 9.33 123600 (2)  
41 9.09 136000 (1)  | 41 9.34 119800 (2)  
42 9.08 112200 (1)  | 42 9.37 41800 (2)   
43 9.07 1221900 (2) | 43 9.38 127200 (2)  
44 9.05 109500 (1)  | 44 9.40 211000 (2)  
45 9.04 1210500 (2) | 45 9.41 3688200 (6) 
46 9.03 108000 (1)  | 46 9.47 1123200 (2) 
47 9.02 1162300 (2) | 47 9.48 2599000 (6) 
48 9.01 215300 (2)  | 48 9.49 94200 (2)   
49 9.00 1417900 (2) | 49 9.50 121800 (2)  
50 8.99 221500 (2)  | 50 9.51 125400 (2)  
51 8.97 1773600 (1) | 51 9.54  200 (2)    
52 8.96 1064900 (1) | 52 9.56 160200 (2)  
53 8.95 215700 (1)  | 53 9.58 117200 (2)  
54 8.94 1050500 (1) | 54 9.60 111800 (2)  
55 8.93 1116100 (1) | 55 9.62 2823800 (6) 
56 8.92 105200 (1)  | 56 9.64 332400 (4)  
57 8.91 1856000 (3) | 57 9.65 95800 (2)   
58 8.90 514600 (3)  | 58 9.69 125200 (2)  
59 8.88 225000 (2)  | 59 9.71 123000 (2)  
60 8.87 349600 (3)  | 60 9.73  200 (2)    
61 8.86 1291500 (1) | 61 9.74 119800 (2)  
62 8.84 909200 (3)  |                     
63 8.83 108100 (1)  |                     
64 8.82 115000 (1)  |                     
65 8.81 370100 (2)  |                     
66 8.79 111400 (1)  |                     
67 8.77 1796900 (1) |                     
68 8.76 1028500 (4) |                     
69 8.75 232800 (1)  |                     
70 8.72 116000 (1)  |                     
71 8.71 109900 (1)  |                     
72 8.68 179400 (1)  |                     
73 8.63 1204300 (1) |                     
74 8.61 115000 (1)  |                     
75 8.59 111100 (1)  |                     
76 8.56 1200600 (2) |                     
77 8.52 1295300 (1) |                     
