Order Book - 2023-06-16
Buy 85.49% | Sell 14.51%
Closing Price: 10.62

Buy Orders           | Sell Orders         
-------------------------------------------
 1 11.37 13500 (1) <-- Close |  1 10.06 1022200 (1)
 2 11.31 142200 (1) <-- Close |  2 10.16 1991000 (1)
 3 11.23 8100 (1) <-- Close |  3 10.20 924400 (1) 
 4 11.20 20600 (2) <-- Close |  4 10.21 44100 (1)  
 5 11.17 8900 (1) <-- Close |  5 10.22 86300 (1)  
 6 11.15 17500 (2) <-- Close |  6 10.23 105000 (1) 
 7 11.13 14800 (1) <-- Close |  7 10.28 98000 (1)  
 8 11.12 9100 (1) <-- Close |  8 10.34 1129600 (1)
 9 11.10 8900 (1) <-- Close |  9 10.35 201300 (1) 
10 11.08 905500 (1) <-- Close | 10 10.37 4700 (1)   
11 11.07 440100 (2) <-- Close | 11 10.40 151500 (1) 
12 11.05 8800 (1) <-- Close | 12 10.42 96100 (1)  
13 11.04 14300 (1) <-- Close | 13 10.45 104800 (1) 
14 11.01 8800 (1) <-- Close | 14 10.51 193200 (2) 
15 10.99 14200 (1) <-- Close | 15 10.59 157600 (1) 
16 10.98 36700 (3) <-- Close | 16 10.61 244600 (3) 
17 10.96 193600 (3) <-- Close | 17 10.62 95700 (1) <-- Close
18 10.94 24600 (2) <-- Close | 18 10.63 457000 (1) 
19 10.93 89100 (1) <-- Close | 19 10.69 91200 (1)  
20 10.92 13200 (1) <-- Close | 20 10.73 458200 (1) 
21 10.91 10600 (1) <-- Close | 21 10.81 95800 (1)  
22 10.90 151400 (2) <-- Close | 22 10.97 93500 (1)  
23 10.87 18500 (2) <-- Close | 23 11.02 176400 (1) 
24 10.84 140000 (1) <-- Close | 24 11.11 932600 (1) 
25 10.82 23000 (2) <-- Close | 25 11.17 93900 (1)  
26 10.81 1563400 (2) <-- Close |                     
27 10.80 130000 (4) <-- Close |                     
28 10.79 36900 (3) <-- Close |                     
29 10.78 15300 (1) <-- Close |                     
30 10.76 24300 (2) <-- Close |                     
31 10.74 14900 (1) <-- Close |                     
32 10.73 26300 (2) <-- Close |                     
33 10.72 16000 (1) <-- Close |                     
34 10.71 128300 (3) <-- Close |                     
35 10.70 187500 (3) <-- Close |                     
36 10.69 18000 (2) <-- Close |                     
37 10.68 93800 (2) <-- Close |                     
38 10.67 135500 (1) <-- Close |                     
39 10.65 23900 (2) <-- Close |                     
40 10.64 194100 (4) <-- Close |                     
41 10.63 23800 (2) <-- Close |                     
42 10.62 1856500 (5) <-- Close |                     
43 10.61 2066600 (3) |                     
44 10.60 156700 (2)  |                     
45 10.59 9000 (1)    |                     
46 10.58 191100 (2)  |                     
47 10.57 2050900 (3) |                     
48 10.56 1591100 (4) |                     
49 10.54 938700 (4)  |                     
50 10.52 25200 (2)   |                     
51 10.51 9900 (1)    |                     
52 10.50 8000 (1)    |                     
53 10.49 94500 (1)   |                     
54 10.48 1524600 (3) |                     
55 10.47 113400 (2)  |                     
56 10.46 356600 (5)  |                     
57 10.45 258200 (3)  |                     
58 10.43 1579500 (2) |                     
59 10.42 132700 (5)  |                     
60 10.41 103400 (1)  |                     
61 10.40 14800 (1)   |                     
62 10.38 14700 (1)   |                     
63 10.37 26300 (2)   |                     
64 10.36 24900 (2)   |                     
65 10.34 97500 (1)   |                     
66 10.33 19300 (2)   |                     
67 10.32 118200 (3)  |                     
68 10.28 9900 (1)    |                     
69 10.26 23400 (2)   |                     
70 10.25 8200 (1)    |                     
71 10.24 262500 (5)  |                     
72 10.23 386500 (1)  |                     
73 10.22 414100 (3)  |                     
74 10.20 9700 (1)    |                     
75 10.18 92800 (1)   |                     
76 10.17 107600 (1)  |                     
77 10.15 154100 (2)  |                     
78 10.14 70800 (1)   |                     
79 10.13 9600 (1)    |                     
80 10.12 177700 (1)  |                     
81 10.08 50100 (1)   |                     
82 10.06 9100 (1)    |                     
83 10.05 9900 (1)    |                     
84 10.04 11200 (1)   |                     
85 10.03 8700 (1)    |                     
86 10.01 10000 (1)   |                     
87 9.98 15700 (1)    |                     
88 9.91 155100 (1)   |                     
89 9.84 14400 (1)    |                     
90 9.83 165500 (1)   |                     
91 9.66 16300 (1)    |                     
