Order Book - 2023-06-16
Buy 50.95% | Sell 49.05%
Closing Price: 14.64

Buy Orders           | Sell Orders         
-------------------------------------------
 1 15.52 128200 (1) <-- Close |  1 13.49 32800 (1)  
 2 15.22 59300 (1) <-- Close |  2 13.55 41600 (1)  
 3 15.20 70500 (1) <-- Close |  3 13.61 89500 (1)  
 4 15.13 63200 (1) <-- Close |  4 13.73 61100 (1)  
 5 15.11 70400 (1) <-- Close |  5 13.76 54900 (1)  
 6 15.09 4043900 (2) <-- Close |  6 13.81 13100 (1)  
 7 15.07 351000 (1) <-- Close |  7 13.87 56800 (1)  
 8 15.03 70100 (1) <-- Close |  8 13.88 59700 (1)  
 9 15.01 66700 (1) <-- Close |  9 13.92 52100 (1)  
10 14.99 125900 (1) <-- Close | 10 14.00 53200 (1)  
11 14.94 239500 (2) <-- Close | 11 14.08 52800 (1)  
12 14.93 1155500 (1) <-- Close | 12 14.11 828600 (2) 
13 14.89 68800 (1) <-- Close | 13 14.13 849400 (1) 
14 14.88 76100 (1) <-- Close | 14 14.20 52900 (1)  
15 14.87 67400 (1) <-- Close | 15 14.21 117000 (2) 
16 14.86 2020700 (2) <-- Close | 16 14.26 52100 (1)  
17 14.85 758200 (1) <-- Close | 17 14.27 428000 (2) 
18 14.83 240200 (2) <-- Close | 18 14.28 70600 (1)  
19 14.82 72700 (1) <-- Close | 19 14.30 45400 (1)  
20 14.81 75500 (1) <-- Close | 20 14.31 130800 (2) 
21 14.79 70400 (1) <-- Close | 21 14.34 82700 (1)  
22 14.78 149400 (2) <-- Close | 22 14.35 105000 (2) 
23 14.77 181000 (2) <-- Close | 23 14.38 119300 (1) 
24 14.76 67300 (1) <-- Close | 24 14.39 51800 (1)  
25 14.74 35300 (1) <-- Close | 25 14.40 1626400 (3)
26 14.71 128700 (2) <-- Close | 26 14.42 129200 (2) 
27 14.68 76400 (1) <-- Close | 27 14.43 73100 (1)  
28 14.67 76500 (1) <-- Close | 28 14.44 53400 (1)  
29 14.64 1015800 (3) <-- Close | 29 14.45 594600 (2) 
30 14.63 125400 (1)  | 30 14.48 77100 (1)  
31 14.62 1095400 (2) | 31 14.49 53200 (1)  
32 14.60 1576500 (3) | 32 14.50 554500 (2) 
33 14.59 74100 (1)   | 33 14.51 100800 (2) 
34 14.58 214600 (3)  | 34 14.53 54100 (1)  
35 14.56 76600 (1)   | 35 14.54 47400 (1)  
36 14.55 641700 (1)  | 36 14.55 723600 (1) 
37 14.54 155700 (2)  | 37 14.58 3600 (1)   
38 14.52 972900 (4)  | 38 14.60 74300 (1)  
39 14.50 981700 (4)  | 39 14.61 1231100 (1)
40 14.45 145300 (2)  | 40 14.62 1749900 (2)
41 14.44 175700 (2)  | 41 14.63 61900 (1)  
42 14.43 144000 (2)  | 42 14.64 88900 (2) <-- Close
43 14.42 78900 (1)   | 43 14.65 89200 (3)  
44 14.41 74100 (1)   | 44 14.66 535300 (1) 
45 14.40 110600 (2)  | 45 14.67 48600 (1)  
46 14.39 78900 (1)   | 46 14.68 78600 (1)  
47 14.37 82800 (1)   | 47 14.69 51100 (1)  
48 14.36 76700 (1)   | 48 14.70 23500 (1)  
49 14.35 156500 (2)  | 49 14.72 78500 (1)  
50 14.32 77400 (1)   | 50 14.73 47400 (1)  
51 14.31 66900 (1)   | 51 14.75 54700 (1)  
52 14.30 711400 (1)  | 52 14.76 51900 (1)  
53 14.29 140000 (1)  | 53 14.78 145000 (3) 
54 14.27 141100 (2)  | 54 14.79 96000 (2)  
55 14.26 76400 (1)   | 55 14.81 49800 (1)  
56 14.24 34100 (1)   | 56 14.84 47900 (1)  
57 14.23 77600 (1)   | 57 14.85 842200 (2) 
58 14.20 77200 (1)   | 58 14.87 51900 (1)  
59 14.17 941800 (2)  | 59 14.90 77500 (1)  
60 14.16 69400 (1)   | 60 14.91 52000 (1)  
61 14.08 915000 (4)  | 61 14.92 818900 (1) 
62 14.05 82400 (1)   | 62 14.99 48600 (1)  
63 14.03 1180800 (2) | 63 15.01 49500 (1)  
64 13.98 484200 (1)  | 64 15.02 74100 (1)  
65 13.97 76500 (1)   | 65 15.03 95000 (2)  
66 13.92 73400 (1)   | 66 15.04 47100 (1)  
67 13.88 74700 (1)   | 67 15.05 94100 (2)  
68 13.83 75800 (1)   | 68 15.06 688200 (1) 
69 13.82 81000 (1)   | 69 15.08 46600 (1)  
70 13.74 738200 (1)  | 70 15.11 530800 (1) 
71 13.70 165000 (2)  | 71 15.12 72300 (1)  
72 13.69 73400 (1)   | 72 15.14 62900 (1)  
73 13.59 711300 (1)  | 73 15.23 35400 (1)  
74 13.43 77700 (1)   | 74 15.39 97300 (2)  
                     | 75 15.42 49700 (1)  
                     | 76 15.44 47400 (1)  
                     | 77 15.65 77100 (1)  
                     | 78 15.75 46200 (1)  
                     | 79 15.78 42600 (1)  
                     | 80 15.80 33200 (1)  
                     | 81 16.04 482600 (1) 
