Order Book - 2023-06-15
Buy 71.90% | Sell 28.10%
Closing Price: 9.60

Buy Orders           | Sell Orders        
------------------------------------------
 1 10.45 124200 (1) <-- Close |  1 9.11 420800 (4) 
 2 10.36 155800 (1) <-- Close |  2 9.12 227200 (4) 
 3 10.32 153200 (1) <-- Close |  3 9.14 4626400 (4)
 4 10.21 99100 (1) <-- Close |  4 9.27 8472000 (4)
 5 10.20 1427700 (2) <-- Close |  5 9.43 2074000 (4)
 6 10.16 70200 (1) <-- Close |  6 9.45 418800 (4) 
 7 10.15 129700 (1) <-- Close |  7 9.48 584800 (8) 
 8 10.11 243300 (2) <-- Close |  8 9.56 865600 (4) 
 9 10.09 84900 (1) <-- Close |  9 9.60 4869200 (4) <-- Close
10 10.08 1321600 (1) <-- Close | 10 9.66 4040800 (4)
11 10.05 79500 (1) <-- Close | 11 9.68 402000 (4) 
12 10.04 163000 (2) <-- Close | 12 9.72 414000 (4) 
13 10.03 76900 (1) <-- Close | 13 9.85 848800 (4) 
14 10.02 88900 (1) <-- Close | 14 9.94 394000 (4) 
15 9.98 131600 (1) <-- Close | 15 9.96 39200 (4)  
16 9.97 100100 (1) <-- Close | 16 10.37 195200 (4)
17 9.95 127900 (1) <-- Close |                    
18 9.94 82400 (1) <-- Close |                    
19 9.93 79100 (1) <-- Close |                    
20 9.92 1138200 (4) <-- Close |                    
21 9.91 110300 (1) <-- Close |                    
22 9.90 169800 (2) <-- Close |                    
23 9.87 289900 (3) <-- Close |                    
24 9.86 427900 (4) <-- Close |                    
25 9.84 126900 (1) <-- Close |                    
26 9.83 169200 (2) <-- Close |                    
27 9.82 103600 (1) <-- Close |                    
28 9.81 82300 (1) <-- Close |                    
29 9.80 214100 (2) <-- Close |                    
30 9.79 210300 (2) <-- Close |                    
31 9.78 80900 (1) <-- Close |                    
32 9.76 314900 (2) <-- Close |                    
33 9.75 53500 (1) <-- Close |                    
34 9.74 919700 (2) <-- Close |                    
35 9.73 299900 (3) <-- Close |                    
36 9.72 1275800 (3) <-- Close |                    
37 9.71 793200 (5) <-- Close |                    
38 9.70 1183600 (3) <-- Close |                    
39 9.69 300200 (3) <-- Close |                    
40 9.68 1065000 (3) <-- Close |                    
41 9.67 399400 (4) <-- Close |                    
42 9.66 236600 (2) <-- Close |                    
43 9.65 1029400 (3) <-- Close |                    
44 9.64 500900 (5) <-- Close |                    
45 9.63 194300 (2) <-- Close |                    
46 9.62 216600 (1) <-- Close |                    
47 9.61 988100 (3) <-- Close |                    
48 9.60 331200 (4) <-- Close |                    
49 9.59 154500 (1)   |                    
50 9.58 826800 (2)   |                    
51 9.57 1522200 (7)  |                    
52 9.56 107200 (1)   |                    
53 9.54 214500 (2)   |                    
54 9.53 952800 (2)   |                    
55 9.52 363700 (3)   |                    
56 9.51 1005400 (2)  |                    
57 9.50 440200 (3)   |                    
58 9.49 2173700 (5)  |                    
59 9.48 540600 (5)   |                    
60 9.46 311400 (3)   |                    
61 9.45 1052900 (2)  |                    
62 9.44 371700 (3)   |                    
63 9.43 196700 (2)   |                    
64 9.42 218900 (2)   |                    
65 9.40 1673200 (4)  |                    
66 9.39 118700 (1)   |                    
67 9.38 146600 (1)   |                    
68 9.37 182800 (2)   |                    
69 9.36 185000 (2)   |                    
70 9.35 281900 (2)   |                    
71 9.34 100800 (1)   |                    
72 9.31 209300 (2)   |                    
73 9.30 1362100 (2)  |                    
74 9.26 124300 (1)   |                    
75 9.25 224400 (1)   |                    
76 9.24 155600 (1)   |                    
77 9.21 88700 (1)    |                    
78 9.20 2086600 (1)  |                    
79 9.19 1684000 (1)  |                    
80 9.17 144300 (1)   |                    
81 9.16 90200 (1)    |                    
82 9.13 89400 (1)    |                    
83 9.11 86300 (1)    |                    
84 9.09 246200 (2)   |                    
85 9.08 1413600 (1)  |                    
86 9.07 148600 (1)   |                    
87 9.04 94400 (1)    |                    
88 8.91 291000 (1)   |                    
89 8.90 88800 (1)    |                    
