Order Book - 2023-06-15
Buy 31.10% | Sell 68.90%
Closing Price: 11.00

Buy Orders           | Sell Orders          
--------------------------------------------
 1 11.81 57000 (1) <-- Close |  1 10.27 125700 (3)  
 2 11.70 86900 (1) <-- Close |  2 10.37 659400 (6)  
 3 11.64 1532100 (2) <-- Close |  3 10.39 118200 (3)  
 4 11.56 565300 (1) <-- Close |  4 10.43 109800 (3)  
 5 11.55 90800 (1) <-- Close |  5 10.48 285900 (3)  
 6 11.54 1371600 (1) <-- Close |  6 10.52 113100 (3)  
 7 11.52 934000 (1) <-- Close |  7 10.55 293700 (3)  
 8 11.43 1288700 (3) <-- Close |  8 10.59 119700 (3)  
 9 11.41 100500 (1) <-- Close |  9 10.61 120000 (3)  
10 11.39 1188000 (4) <-- Close | 10 10.64 117300 (3)  
11 11.38 143100 (2) <-- Close | 11 10.65 450300 (6)  
12 11.36 117000 (2) <-- Close | 12 10.66 5848800 (6) 
13 11.33 855800 (1) <-- Close | 13 10.67 405000 (6)  
14 11.30 1509900 (1) <-- Close | 14 10.71 59400 (3)   
15 11.29 131500 (2) <-- Close | 15 10.73 114900 (3)  
16 11.28 59400 (1) <-- Close | 16 10.74 235800 (6)  
17 11.26 109700 (2) <-- Close | 17 10.75 42300 (3)   
18 11.25 310600 (2) <-- Close | 18 10.78 770100 (12) 
19 11.23 276100 (3) <-- Close | 19 10.80 110700 (3)  
20 11.22 330400 (2) <-- Close | 20 10.81 116700 (3)  
21 11.21 60900 (1) <-- Close | 21 10.82 117000 (3)  
22 11.20 1629000 (3) <-- Close | 22 10.84 261300 (6)  
23 11.18 1023600 (2) <-- Close | 23 10.85 643200 (12) 
24 11.17 160900 (2) <-- Close | 24 10.87 5334600 (6) 
25 11.16 377100 (3) <-- Close | 25 10.88 419100 (6)  
26 11.15 216500 (3) <-- Close | 26 10.89 278100 (3)  
27 11.13 1225300 (2) <-- Close | 27 10.90 1159200 (3) 
28 11.12 178900 (1) <-- Close | 28 10.91 111000 (3)  
29 11.11 160900 (2) <-- Close | 29 10.92 103500 (3)  
30 11.10 3113300 (4) <-- Close | 30 10.93 1272000 (6) 
31 11.09 1458000 (2) <-- Close | 31 10.94 118200 (3)  
32 11.08 122000 (1) <-- Close | 32 10.95 2948100 (6) 
33 11.07 1400800 (1) <-- Close | 33 10.96 113700 (3)  
34 11.06 1382400 (3) <-- Close | 34 10.97 353100 (6)  
35 11.05 1079000 (5) <-- Close | 35 10.98 1169700 (3) 
36 11.04 64200 (1) <-- Close | 36 11.00 294000 (6) <-- Close
37 11.02 101200 (2) <-- Close | 37 11.02 901500 (12) 
38 11.01 101600 (1) <-- Close | 38 11.03 402000 (12) 
39 11.00 470300 (5) <-- Close | 39 11.04 110400 (3)  
40 10.98 395300 (3)  | 40 11.07 274500 (9)  
41 10.95 189600 (1)  | 41 11.09 1150800 (9) 
42 10.94 297800 (1)  | 42 11.10 1180800 (6) 
43 10.93 2114100 (2) | 43 11.11 113700 (3)  
44 10.92 241300 (3)  | 44 11.12 110100 (3)  
45 10.91 189100 (2)  | 45 11.13 109200 (3)  
46 10.89 90800 (1)   | 46 11.14 114900 (3)  
47 10.88 64200 (1)   | 47 11.15 2532000 (9) 
48 10.87 569700 (3)  | 48 11.16 113700 (3)  
49 10.86 62200 (1)   | 49 11.19 344400 (9)  
50 10.85 87800 (1)   | 50 11.21 1131600 (6) 
51 10.84 317000 (3)  | 51 11.22 491700 (3)  
52 10.82 2739200 (2) | 52 11.23 117000 (3)  
53 10.81 1074300 (2) | 53 11.24 377100 (6)  
54 10.80 1048600 (2) | 54 11.25 107100 (3)  
55 10.79 239900 (2)  | 55 11.27 2921700 (6) 
56 10.78 970700 (1)  | 56 11.28 5966700 (18)
57 10.77 146100 (1)  | 57 11.32 115200 (3)  
58 10.76 730300 (2)  | 58 11.33 111000 (3)  
59 10.74 1150600 (2) | 59 11.34 274800 (9)  
60 10.73 48500 (1)   | 60 11.35 106500 (3)  
61 10.72 818300 (2)  | 61 11.36 299100 (3)  
62 10.70 1923400 (2) | 62 11.37 2886000 (6) 
63 10.69 1023500 (2) | 63 11.41 220200 (3)  
64 10.68 263700 (2)  | 64 11.43 2399700 (3) 
65 10.67 681300 (2)  | 65 11.47 611400 (3)  
66 10.66 2083300 (2) | 66 11.48 275400 (3)  
67 10.63 100100 (1)  | 67 11.59 1070400 (3) 
68 10.61 60000 (1)   | 68 11.81 2304300 (3) 
69 10.60 58700 (1)   | 69 11.88 107400 (3)  
70 10.59 1200800 (2) |                      
71 10.58 54400 (1)   |                      
72 10.55 63600 (1)   |                      
73 10.54 111300 (2)  |                      
74 10.53 3005800 (3) |                      
75 10.52 61700 (1)   |                      
76 10.49 1045100 (3) |                      
77 10.47 65000 (1)   |                      
78 10.46 208100 (1)  |                      
79 10.45 583600 (1)  |                      
80 10.44 989400 (1)  |                      
81 10.40 145500 (1)  |                      
82 10.35 577200 (1)  |                      
83 10.33 69600 (1)   |                      
84 10.32 2072900 (1) |                      
85 10.30 207600 (1)  |                      
86 10.17 66600 (1)   |                      
