Order Book - 2023-06-15
Buy 80.20% | Sell 19.80%
Closing Price: 11.37

Buy Orders           | Sell Orders         
-------------------------------------------
 1 12.07 132000 (2) <-- Close |  1 10.47 106100 (1) 
 2 12.04 3900 (1) <-- Close |  2 10.65 970400 (1) 
 3 11.91 118800 (3) <-- Close |  3 10.71 88300 (1)  
 4 11.87 6100 (1) <-- Close |  4 10.77 94800 (1)  
 5 11.86 3800 (1) <-- Close |  5 10.80 50100 (1)  
 6 11.83 778600 (2) <-- Close |  6 10.86 93700 (1)  
 7 11.82 102700 (3) <-- Close |  7 10.88 97000 (1)  
 8 11.81 11400 (2) <-- Close |  8 10.90 97000 (1)  
 9 11.79 8300 (2) <-- Close |  9 10.94 46100 (1)  
10 11.77 68900 (3) <-- Close | 10 10.96 946700 (1) 
11 11.76 4100 (1) <-- Close | 11 10.97 916300 (1) 
12 11.75 4100 (1) <-- Close | 12 11.03 114500 (1) 
13 11.74 64600 (2) <-- Close | 13 11.04 94400 (1)  
14 11.73 3900 (1) <-- Close | 14 11.06 995900 (1) 
15 11.72 12400 (2) <-- Close | 15 11.14 209600 (2) 
16 11.71 3900 (1) <-- Close | 16 11.19 141500 (1) 
17 11.70 4100 (1) <-- Close | 17 11.34 94300 (1)  
18 11.69 407400 (1) <-- Close | 18 11.37 913700 (1) <-- Close
19 11.68 6200 (1) <-- Close | 19 11.38 90600 (1)  
20 11.67 7700 (2) <-- Close | 20 11.40 90200 (1)  
21 11.66 6500 (1) <-- Close | 21 11.42 43900 (1)  
22 11.65 219300 (2) <-- Close | 22 11.43 1810500 (2)
23 11.64 6400 (1) <-- Close | 23 11.48 98400 (1)  
24 11.63 5800 (1) <-- Close | 24 11.50 868000 (1) 
25 11.62 1832000 (2) <-- Close | 25 11.52 1098800 (2)
26 11.61 89500 (2) <-- Close | 26 11.55 180700 (1) 
27 11.59 929100 (4) <-- Close | 27 11.59 211500 (2) 
28 11.57 13700 (3) <-- Close | 28 11.71 96700 (1)  
29 11.56 186500 (2) <-- Close | 29 11.74 857700 (2) 
30 11.55 4300 (1) <-- Close | 30 11.77 1045800 (1)
31 11.53 102000 (2) <-- Close | 31 11.81 992000 (1) 
32 11.52 3800 (1) <-- Close | 32 11.92 87800 (1)  
33 11.51 10400 (2) <-- Close | 33 11.93 87500 (1)  
34 11.48 42800 (2) <-- Close | 34 11.95 874400 (1) 
35 11.47 131500 (2) <-- Close |                     
36 11.46 6400 (1) <-- Close |                     
37 11.45 37500 (1) <-- Close |                     
38 11.44 64900 (1) <-- Close |                     
39 11.43 47400 (2) <-- Close |                     
40 11.42 44800 (1) <-- Close |                     
41 11.40 105300 (5) <-- Close |                     
42 11.39 85900 (1) <-- Close |                     
43 11.38 6100 (1) <-- Close |                     
44 11.37 8300 (2) <-- Close |                     
45 11.36 144900 (3)  |                     
46 11.35 6000 (1)    |                     
47 11.34 78000 (2)   |                     
48 11.33 6600 (1)    |                     
49 11.31 4300 (1)    |                     
50 11.30 4100 (1)    |                     
51 11.29 4200 (1)    |                     
52 11.28 8100 (2)    |                     
53 11.27 524600 (4)  |                     
54 11.26 10500 (2)   |                     
55 11.25 234500 (3)  |                     
56 11.22 10700 (2)   |                     
57 11.20 77800 (3)   |                     
58 11.19 8000 (2)    |                     
59 11.18 183100 (3)  |                     
60 11.17 4000 (1)    |                     
61 11.16 142200 (2)  |                     
62 11.14 3500 (1)    |                     
63 11.13 10600 (2)   |                     
64 11.12 8800 (2)    |                     
65 11.10 97800 (1)   |                     
66 11.09 47000 (1)   |                     
67 11.08 14900 (2)   |                     
68 11.07 71400 (1)   |                     
69 11.05 12700 (3)   |                     
70 11.04 367400 (3)  |                     
71 11.03 91200 (1)   |                     
72 11.01 8400 (2)    |                     
73 11.00 950100 (4)  |                     
74 10.99 99800 (2)   |                     
75 10.98 62500 (1)   |                     
76 10.97 179300 (3)  |                     
77 10.96 11100 (2)   |                     
78 10.95 4400 (1)    |                     
79 10.94 4800 (1)    |                     
80 10.92 879600 (1)  |                     
81 10.91 1050900 (1) |                     
82 10.90 4100 (1)    |                     
83 10.88 4200 (1)    |                     
84 10.86 8200 (1)    |                     
85 10.85 4000 (1)    |                     
86 10.82 104100 (2)  |                     
87 10.80 84500 (1)   |                     
88 10.75 4400 (1)    |                     
89 10.71 933700 (1)  |                     
90 10.69 95100 (1)   |                     
91 10.62 94000 (1)   |                     
92 10.46 50300 (1)   |                     
93 10.45 6900 (1)    |                     
