Order Book - 2023-06-15
Buy 81.59% | Sell 18.41%
Closing Price: 11.90

Buy Orders           | Sell Orders         
-------------------------------------------
 1 12.60 80800 (1) <-- Close |  1 11.11 148100 (1) 
 2 12.48 45900 (1) <-- Close |  2 11.17 189200 (1) 
 3 12.38 150600 (1) <-- Close |  3 11.27 49200 (1)  
 4 12.36 71200 (2) <-- Close |  4 11.33 93900 (1)  
 5 12.29 29900 (1) <-- Close |  5 11.34 904200 (1) 
 6 12.28 445600 (2) <-- Close |  6 11.44 788100 (1) 
 7 12.27 467800 (1) <-- Close |  7 11.45 83000 (1)  
 8 12.24 30600 (1) <-- Close |  8 11.46 95200 (1)  
 9 12.22 1597200 (1) <-- Close |  9 11.48 93700 (1)  
10 12.21 253100 (1) <-- Close | 10 11.49 1376100 (1)
11 12.20 147600 (2) <-- Close | 11 11.50 86300 (1)  
12 12.17 71800 (2) <-- Close | 12 11.53 1773600 (2)
13 12.16 30200 (1) <-- Close | 13 11.56 94000 (1)  
14 12.15 91500 (2) <-- Close | 14 11.57 1551100 (1)
15 12.14 123100 (2) <-- Close | 15 11.62 129900 (1) 
16 12.11 581500 (2) <-- Close | 16 11.66 415900 (1) 
17 12.10 225500 (3) <-- Close | 17 11.77 1193100 (3)
18 12.09 28200 (1) <-- Close | 18 11.78 804100 (1) 
19 12.08 840200 (2) <-- Close | 19 11.82 174400 (1) 
20 12.05 112400 (2) <-- Close | 20 11.86 42800 (1)  
21 12.04 32000 (1) <-- Close | 21 11.90 85900 (1) <-- Close
22 12.03 268400 (2) <-- Close | 22 11.91 211300 (1) 
23 12.02 58100 (2) <-- Close | 23 11.92 87300 (1)  
24 12.01 73500 (2) <-- Close | 24 11.96 906700 (1) 
25 12.00 217500 (2) <-- Close | 25 12.01 879700 (1) 
26 11.99 831800 (1) <-- Close | 26 12.02 860200 (1) 
27 11.98 117800 (2) <-- Close | 27 12.05 559700 (1) 
28 11.97 1065700 (4) <-- Close | 28 12.07 176500 (1) 
29 11.96 1778900 (4) <-- Close | 29 12.08 271000 (2) 
30 11.95 102600 (2) <-- Close | 30 12.10  100 (1)   
31 11.94 158100 (2) <-- Close | 31 12.11 85800 (1)  
32 11.91 28500 (1) <-- Close | 32 12.12 162600 (1) 
33 11.89 695100 (3)  | 33 12.15 1121400 (1)
34 11.88 1534600 (6) | 34 12.33 87600 (1)  
35 11.87 30200 (1)   | 35 12.42 921200 (1) 
36 11.86 265200 (2)  | 36 12.44 1245800 (1)
37 11.85 778500 (2)  | 37 12.49 132100 (1) 
38 11.84 47100 (1)   | 38 12.62 87000 (1)  
39 11.82 477400 (2)  | 39 12.69 116600 (1) 
40 11.81 1927100 (4) | 40 12.82 40000 (1)  
41 11.79 327900 (3)  |                     
42 11.78 199600 (3)  |                     
43 11.77 891000 (1)  |                     
44 11.75 86700 (2)   |                     
45 11.74 119400 (2)  |                     
46 11.73 62400 (2)   |                     
47 11.72 45700 (1)   |                     
48 11.71 183000 (2)  |                     
49 11.70 1856500 (6) |                     
50 11.69 1264100 (5) |                     
51 11.68 60200 (2)   |                     
52 11.67 378800 (3)  |                     
53 11.65 30200 (1)   |                     
54 11.64 499500 (1)  |                     
55 11.63 84500 (2)   |                     
56 11.62 122100 (3)  |                     
57 11.61 1872300 (1) |                     
58 11.60 75300 (2)   |                     
59 11.59 64300 (2)   |                     
60 11.58 475900 (4)  |                     
61 11.57 100400 (2)  |                     
62 11.56 27100 (1)   |                     
63 11.55 1173700 (6) |                     
64 11.54 131600 (2)  |                     
65 11.53 247000 (2)  |                     
66 11.52 254600 (3)  |                     
67 11.51 1208100 (3) |                     
68 11.50 90500 (2)   |                     
69 11.49 1746000 (3) |                     
70 11.48 378900 (2)  |                     
71 11.47 55900 (1)   |                     
72 11.46 2102800 (3) |                     
73 11.45 31000 (1)   |                     
74 11.44 81800 (1)   |                     
75 11.43 47800 (1)   |                     
76 11.42 85700 (1)   |                     
77 11.41 107000 (3)  |                     
78 11.39 1247500 (2) |                     
79 11.38 433200 (4)  |                     
80 11.37 118200 (2)  |                     
81 11.36 222900 (2)  |                     
82 11.33 656600 (3)  |                     
83 11.32 795900 (3)  |                     
84 11.31 773300 (1)  |                     
85 11.28 59300 (2)   |                     
86 11.27 32500 (1)   |                     
87 11.26 1326900 (1) |                     
88 11.25 33100 (1)   |                     
89 11.21 333400 (1)  |                     
90 11.17 48800 (1)   |                     
91 11.15 31600 (1)   |                     
92 11.14 33700 (1)   |                     
93 11.10 270500 (2)  |                     
94 11.08 87700 (2)   |                     
95 10.86 51100 (1)   |                     
96 10.78 1002100 (1) |                     
97 10.54 1477200 (1) |                     
