Order Book - 2023-06-16
Buy 41.04% | Sell 58.96%
Closing Price: 5.63

Buy Orders          | Sell Orders        
-----------------------------------------
 1 6.04 121900 (1) <-- Close |  1 5.27 78200 (1)  
 2 5.97 120100 (1) <-- Close |  2 5.29 156900 (2) 
 3 5.88 140900 (1) <-- Close |  3 5.30 83600 (1)  
 4 5.86 182800 (1) <-- Close |  4 5.31 52600 (1)  
 5 5.85 123000 (1) <-- Close |  5 5.32  100 (1)   
 6 5.84 128000 (1) <-- Close |  6 5.33 50900 (1)  
 7 5.83 1451200 (1) <-- Close |  7 5.34 83100 (1)  
 8 5.79 1000800 (2) <-- Close |  8 5.36 287000 (4) 
 9 5.77 261500 (1) <-- Close |  9 5.37 153300 (1) 
10 5.75 2006500 (2) <-- Close | 10 5.38 891500 (1) 
11 5.73 560800 (3) <-- Close | 11 5.39 112000 (2) 
12 5.72 1369300 (2) <-- Close | 12 5.40 51800 (1)  
13 5.70 123900 (1) <-- Close | 13 5.41 2503000 (3)
14 5.69 177100 (1) <-- Close | 14 5.42 70300 (1)  
15 5.68 1851500 (2) <-- Close | 15 5.43 225500 (3) 
16 5.67 650500 (3) <-- Close | 16 5.44 171000 (3) 
17 5.66 131200 (1) <-- Close | 17 5.45 977900 (4) 
18 5.65 125400 (1) <-- Close | 18 5.46 59700 (1)  
19 5.64 2164600 (2) <-- Close | 19 5.47 310000 (4) 
20 5.63 2068100 (4) <-- Close | 20 5.48 117300 (2) 
21 5.62 1056500 (2) | 21 5.49 2746300 (2)
22 5.60 112900 (1)  | 22 5.50 938600 (3) 
23 5.58 274100 (2)  | 23 5.51 73500 (1)  
24 5.57 1157600 (3) | 24 5.52 573800 (4) 
25 5.54 127100 (1)  | 25 5.55 205400 (3) 
26 5.53 2695900 (1) | 26 5.56 2060900 (5)
27 5.52 1755200 (1) | 27 5.58 66600 (1)  
28 5.51 222900 (2)  | 28 5.59 190500 (3) 
29 5.50 400200 (3)  | 29 5.60 152000 (2) 
30 5.49 579100 (2)  | 30 5.61 289600 (4) 
31 5.48 181400 (1)  | 31 5.62 894400 (3) 
32 5.46 417500 (2)  | 32 5.63 1636400 (3) <-- Close
33 5.44 1971700 (2) | 33 5.64 196600 (3) 
34 5.42 1962300 (1) | 34 5.65 271400 (4) 
35 5.41 288000 (1)  | 35 5.66 719200 (3) 
36 5.39 323000 (2)  | 36 5.68 1391300 (2)
37 5.38 1063000 (2) | 37 5.69 101600 (1) 
38 5.36 1422800 (1) | 38 5.70 84800 (1)  
39 5.34 262300 (2)  | 39 5.71 1471300 (2)
40 5.32 1211800 (2) | 40 5.72 950700 (3) 
41 5.31 1103700 (1) | 41 5.73 852000 (3) 
42 5.30 409700 (3)  | 42 5.75 169200 (3) 
43 5.27 137100 (1)  | 43 5.78 76200 (1)  
                    | 44 5.79 48400 (1)  
                    | 45 5.83 39300 (1)  
                    | 46 5.90 68200 (1)  
                    | 47 5.93 65300 (1)  
