date,stock_code,large_order_net_inflow
2023-06-16,EREI,-26743212.0
2023-06-16,FSEI,-11687310.0
2023-06-16,TSEI,10731343.0
2023-06-16,CPEI,-24472617.0
2023-06-16,MEI,-9692238.0
2023-06-16,REEI,-17015887.0
2023-06-16,CGEI,5773565.999999999
2023-06-16,IEEI,-14402892.0
2023-06-16,TLEI,-13266572.0
2023-06-16,TTEI,15853656.0
