stock_code,user_id,direction,executed_price,executed_quantity,original_quantity,unfilled_quantity,timestamp
EREI,25928837590,buy,11.94,102600,102600,0,2023-06-16 10:58:18.367234
EREI,85925403176,buy,11.94,670400,670400,0,2023-06-16 13:26:57.823590
EREI,94271403419,buy,11.94,819500,819500,0,2023-06-16 09:38:22.572728
EREI,84909580647,buy,11.94,136800,136800,0,2023-06-16 10:21:50.058490
EREI,53464880944,buy,11.94,128100,128100,0,2023-06-16 09:48:36.648442
EREI,60621697035,buy,11.94,65900,65900,0,2023-06-16 10:25:08.647459
EREI,22755586181,buy,11.94,83600,83600,0,2023-06-16 09:40:24.252141
EREI,39222714950,buy,11.94,1577600,1577600,0,2023-06-16 11:11:13.682496
EREI,71496618979,buy,11.94,105100,105100,0,2023-06-16 10:18:26.208563
EREI,91900676843,buy,11.94,68500,68500,0,2023-06-16 10:19:50.903331
EREI,41464200343,buy,11.94,106600,106600,0,2023-06-16 13:45:39.007341
EREI,36514505064,buy,11.94,68200,68200,0,2023-06-16 10:03:50.991966
EREI,84865233778,buy,11.94,82500,82500,0,2023-06-16 13:14:15.192635
EREI,95075434792,buy,11.94,153900,153900,0,2023-06-16 14:02:09.544071
EREI,72360475841,buy,11.94,1198800,1198800,0,2023-06-16 09:36:41.008611
EREI,11580131025,buy,11.94,68400,68400,0,2023-06-16 13:50:30.366640
EREI,24298991861,buy,11.94,65600,65600,0,2023-06-16 14:47:54.141462
EREI,99360887564,buy,11.94,104200,104200,0,2023-06-16 14:54:36.229956
EREI,91423912919,buy,11.94,118500,118500,0,2023-06-16 09:45:32.614599
EREI,57116597530,buy,11.94,59200,59200,0,2023-06-16 14:21:12.379710
EREI,94132077165,buy,11.94,118800,118800,0,2023-06-16 11:06:49.223847
EREI,80850303194,buy,11.94,115100,115100,0,2023-06-16 14:20:23.440494
EREI,46409630207,buy,11.94,139700,139700,0,2023-06-16 14:44:06.622249
EREI,90297859491,buy,11.94,762400,762400,0,2023-06-16 10:50:58.302473
EREI,53936487546,buy,11.94,145800,145800,0,2023-06-16 13:00:24.770331
EREI,36688478955,buy,11.94,106000,106000,0,2023-06-16 13:46:22.761960
EREI,38230792749,buy,11.94,69700,69700,0,2023-06-16 10:35:22.913421
EREI,93995466918,buy,11.94,68700,68700,0,2023-06-16 13:05:49.713243
EREI,83307643692,buy,11.94,109200,109200,0,2023-06-16 13:56:51.357898
EREI,55503246178,buy,11.94,70900,70900,0,2023-06-16 14:15:06.546355
EREI,70494484825,buy,11.94,205600,205600,0,2023-06-16 09:30:01.510689
EREI,38806758301,buy,11.94,105600,105600,0,2023-06-16 10:27:16.793347
EREI,12396165581,buy,11.94,65900,65900,0,2023-06-16 10:41:59.479782
EREI,69036268588,buy,11.94,167900,167900,0,2023-06-16 11:05:09.404857
EREI,50917060324,buy,11.94,70100,70100,0,2023-06-16 13:08:55.608615
EREI,52945767825,buy,11.94,139700,139700,0,2023-06-16 14:04:36.512452
EREI,49555903977,buy,11.94,101600,101600,0,2023-06-16 14:51:05.088033
EREI,59061566792,buy,11.94,68900,68900,0,2023-06-16 14:52:56.576045
EREI,32033055242,buy,11.94,80200,80200,0,2023-06-16 10:29:19.398867
EREI,62497275689,buy,11.94,111800,111800,0,2023-06-16 10:40:28.182636
EREI,74533333826,buy,11.94,72700,72700,0,2023-06-16 10:23:18.713282
EREI,61859142934,buy,11.94,110100,110100,0,2023-06-16 13:10:13.165544
EREI,39616304277,buy,11.94,67400,67400,0,2023-06-16 13:22:01.566156
EREI,86599894184,buy,11.94,114500,114500,0,2023-06-16 09:31:12.313793
EREI,13713918206,buy,11.94,176000,176000,0,2023-06-16 10:05:01.006644
EREI,26978334658,buy,11.94,103200,103200,0,2023-06-16 13:12:20.730602
EREI,59255167650,buy,11.94,126500,126500,0,2023-06-16 10:31:15.255537
EREI,86413041966,buy,11.94,119500,119500,0,2023-06-16 10:38:12.694806
EREI,92638060217,buy,11.94,59400,59400,0,2023-06-16 11:05:36.153610
EREI,60397164953,buy,11.94,253100,253100,0,2023-06-16 14:55:45.833234
EREI,18294145217,buy,11.94,182000,182000,0,2023-06-16 14:58:20.937905
EREI,86445578772,buy,11.94,1287700,1287700,0,2023-06-16 11:12:34.959618
EREI,14261675192,buy,11.94,661700,661700,0,2023-06-16 13:16:17.760719
EREI,96110050012,buy,11.94,157900,157900,0,2023-06-16 14:06:20.119477
EREI,90180018139,buy,11.94,1618700,1618700,0,2023-06-16 14:24:06.932419
EREI,87353923173,buy,11.94,104400,104400,0,2023-06-16 13:07:31.293964
EREI,63023176009,buy,11.94,67000,67000,0,2023-06-16 10:47:11.441114
EREI,14850654155,buy,11.94,102300,102300,0,2023-06-16 14:06:44.159313
EREI,15798655996,buy,11.94,1642000,1642000,0,2023-06-16 10:15:56.053883
EREI,30604753018,buy,11.94,167300,167300,0,2023-06-16 13:34:00.226741
EREI,83965392369,buy,11.94,75000,75000,0,2023-06-16 14:31:13.736247
EREI,41149003178,buy,11.94,128000,128000,0,2023-06-16 14:42:05.830087
EREI,91580459955,buy,11.94,808200,808200,0,2023-06-16 14:18:24.758703
EREI,26061074164,buy,11.94,70500,70500,0,2023-06-16 10:27:33.808558
EREI,87837005020,buy,11.94,89100,89100,0,2023-06-16 14:15:57.807066
EREI,58230710236,buy,11.94,174100,174100,0,2023-06-16 09:31:47.529504
EREI,20654184899,buy,11.94,70400,70400,0,2023-06-16 09:34:15.252931
EREI,60504743839,buy,11.94,80200,80200,0,2023-06-16 10:11:59.257194
EREI,13175459731,buy,11.94,69400,69400,0,2023-06-16 10:25:12.972231
EREI,20780665073,buy,11.94,70400,70400,0,2023-06-16 10:38:07.596461
EREI,70852751519,buy,11.94,70800,70800,0,2023-06-16 10:38:33.045616
EREI,22953163490,buy,11.94,297200,297200,0,2023-06-16 13:08:03.088506
EREI,70182749572,buy,11.94,95800,95800,0,2023-06-16 14:51:38.853096
EREI,26663101742,buy,11.94,81800,81800,0,2023-06-16 10:10:05.249481
EREI,65130133433,buy,11.94,40900,40900,0,2023-06-16 11:29:32.584552
EREI,50589335038,buy,11.94,1017300,1017300,0,2023-06-16 10:04:00.312520
EREI,73040985049,buy,11.94,892900,892900,0,2023-06-16 13:09:22.731714
EREI,91802141079,buy,11.94,97400,97400,0,2023-06-16 14:53:25.558700
EREI,29665345618,buy,11.94,72300,72300,0,2023-06-16 14:56:08.469762
EREI,88595095940,buy,11.94,128100,128100,0,2023-06-16 14:50:51.814240
EREI,49739419188,buy,11.94,75500,75500,0,2023-06-16 13:19:17.306613
EREI,93427007220,buy,11.94,96800,96800,0,2023-06-16 13:47:15.114107
EREI,72882258727,buy,11.94,1751300,1751300,0,2023-06-16 10:23:00.941027
EREI,74109258330,buy,11.94,70100,70100,0,2023-06-16 10:22:17.928314
EREI,72111245156,buy,11.94,74000,74000,0,2023-06-16 13:18:46.597248
EREI,39638094206,buy,11.94,1130300,1130300,0,2023-06-16 09:43:20.583363
